state,year,Incident,Population,Murder rate,Unemployment rate,ammpermit,Median Household income,Crime rate
Connecticut,2005,159,3506956,4.533846447,4.8,0,56835,273
Delaware,2005,48,845150,5.679465184,4.5,0,51235,633
Florida,2005,472720,17842038,2649.473115,2.9,0,42990,709
Georgia,2005,1439,8925922,16.12158385,5.7,0,45926,446
Hawaii,2005,36,1292729,2.784806406,2.8,0,59586,256
Idaho,2005,42,1428241,2.940680179,4,0,44176,257
Illinois,2005,9932,12609903,78.76349247,5.7,1,48398,552
Indiana,2005,1061,6278616,16.89862861,5.4,0,42437,324
Iowa,2005,45,2964454,1.517986111,4.3,0,46500,293
Kansas,2005,164,2745299,5.973848386,5.1,0,42027,389
Kentucky,2005,551,4182742,13.17317683,5.9,0,36699,267
Louisiana,2005,2405,4576628,52.54960639,7.2,0,37236,597
Maine,2005,21,1318787,1.592372385,4.9,0,43923,113
Maryland,2005,4947,5592379,88.45966985,4.5,0,60512,704
Massachusetts,2005,437,6403290,6.82461672,4.8,1,56017,461
Michigan,2005,6445,10051137,64.12209882,6.8,0,45933,554
Minnesota,2005,230,5119598,4.492540235,4.1,0,54215,297
Mississippi,2005,241,2905943,8.293349181,7.6,0,32875,280
Missouri,2005,1950,5790300,33.67701155,5.4,0,42986,526
Montana,2005,24,940102,2.552914471,4.1,0,37313,282
Nebraska,2005,15,1761497,0.851548427,3.8,0,47923,287
Nevada,2005,1539,2432143,63.27752932,4.1,0,48209,608
New Hampshire,2005,18,1298492,1.386223404,3.6,0,56984,135
New Jersey,2005,1075,8651974,12.4249102,4.4,0,63368,355
New Mexico,2005,288,1932274,14.90471848,5.2,0,38947,646
New York,2005,14605,19132610,76.33563847,5,0,47176,444
North Carolina,2005,1087,8705407,12.48649259,5.6,0,42056,489
North Dakota,2005,11,646089,1.702551816,3.3,0,42192,111
Ohio,2005,2008,11463320,17.51674035,5.9,0,44203,350
Oklahoma,2005,481,3548597,13.55465273,4.3,0,37645,509
Oregon,2005,135,3613202,3.736298164,6.2,0,44159,287
Pennsylvania,2005,7151,12449990,57.43779714,5,0,46300,425
Rhode Island,2005,Not Found,1067916,#VALUE!,5.1,0,49484,252
South Carolina,2005,435,4270150,10.18699577,7.3,0,40230,767
South Dakota,2005,15,775493,1.934253436,3.6,0,43151,179
Tennessee,2005,1900,5991057,31.71393629,5.5,0,39406,757
Texas,2005,9132,22778123,40.09109969,5.5,0,41422,528
Utah,2005,67,2457719,2.726104978,4,0,54813,225
Vermont,2005,10,621215,1.609748638,3.5,0,50704,126
Virginia,2005,1012,7577105,13.3560245,3.8,0,51914,283
Washington,2005,318,6257305,5.082060088,5.6,0,50646,346
West Virginia,2005,84,1820492,4.614137277,5.5,0,36445,274
Wisconsin,2005,975,5546166,17.57971182,4.8,0,44650,242
Wyoming,2005,17,514157,3.30638307,3.6,0,44718,230
Alabama,2006,955,4628981,20.63089047,4,0,37952,425
Alaska,2006,68,675302,10.06956887,6.6,0,56418,688
Arizona,2006,3320,6029141,55.0658875,4.3,0,46657,501
Arkansas,2006,435,2821761,15.41590517,5.2,0,37057,552
California,2006,15898,36021202,44.13511798,4.9,0,55319,533
Colorado,2006,344,4720423,7.287482499,4.2,0,55697,362
Connecticut,2006,157,3517460,4.463448056,4.4,0,62404,281
Delaware,2006,58,859268,6.749931337,3.9,0,52438,682
Florida,2006,657945,18166990,3621.651138,2.5,0,45676,712
Georgia,2006,1751,9155813,19.12446224,5.1,0,49344,471
Hawaii,2006,41,1309731,3.130413803,2.5,0,60470,281
Idaho,2006,33,1468669,2.246932427,3.4,0,46213,247
Illinois,2006,10737,12643955,84.91804977,4.6,1,48671,542
Indiana,2006,1260,6332669,19.89682391,5,0,45407,315
Iowa,2006,55,2982644,1.844001497,3.7,0,48126,284
Kansas,2006,407,2762931,14.73073341,4.4,0,45552,425
Kentucky,2006,387,4219239,9.172270165,5.7,0,39485,263
Louisiana,2006,2209,4302665,51.34027399,4.1,0,36488,698
Maine,2006,29,1323619,2.190962807,4.7,0,45642,116
Maryland,2006,4399,5627367,78.17154986,4.2,0,63668,689
Massachusetts,2006,474,6410084,7.394598885,4.7,1,55330,447
Michigan,2006,7780,10036081,77.52029901,7,0,48647,562
Minnesota,2006,284,5163555,5.500086665,4.1,0,56211,312
Mississippi,2006,271,2904978,9.328814194,6.4,0,34733,299
Missouri,2006,1575,5842704,26.95669676,4.9,0,44579,546
Montana,2006,21,952692,2.204280082,3.3,0,41105,254
Nebraska,2006,18,1772693,1.015404247,3,0,48145,282
Nevada,2006,1346,2522658,53.35642009,4,0,52282,742
New Hampshire,2006,13,1308389,0.993588298,3.5,0,61970,139
New Jersey,2006,1035,8661679,11.94918445,4.6,0,68059,352
New Mexico,2006,205,1962137,10.44779238,4.2,0,40028,643
New York,2006,17488,19104631,91.53801505,4.5,0,48222,435
North Carolina,2006,1020,8917270,11.43847837,5.1,0,39797,476
North Dakota,2006,7,649422,1.077881562,3.1,0,41047,128
Ohio,2006,1598,11481213,13.91838998,5.4,0,45900,350
Oklahoma,2006,494,3594090,13.74478658,3.9,0,38838,497
Oregon,2006,136,3670883,3.704830691,5.4,0,47091,280
Pennsylvania,2006,8707,12510809,69.5958191,4.7,0,48477,440
Rhode Island,2006,Not Found,1063096,#VALUE!,5.2,0,53736,228
South Carolina,2006,521,4357847,11.95544497,6.9,0,39617,766
South Dakota,2006,13,783033,1.660211,3,0,45427,171
Tennessee,2006,1757,6088766,28.85642181,5.3,0,40693,760
Texas,2006,10387,23359580,44.46569673,5,0,43307,516
Utah,2006,56,2525507,2.217376551,2.8,0,54628,224
Vermont,2006,15,622892,2.408122114,3.7,0,51981,137
Virginia,2006,717,7673725,9.343571733,3.3,0,57119,282
Washington,2006,277,6370753,4.347994656,5,0,54723,346
West Virginia,2006,83,1827912,4.54069999,5.2,0,38419,280
Wisconsin,2006,592,5577655,10.61377945,4.7,0,51692,284
Wyoming,2006,10,522667,1.913264086,3,0,47041,240
Alabama,2007,929,4672840,19.88084334,4.1,0,42212,448
Alaska,2007,78,680300,11.46552991,6.3,0,62993,661
Arizona,2007,3143,6167681,50.95918547,3.8,0,47215,483
Arkansas,2007,531,2848650,18.64040861,5.4,0,40795,529
California,2007,13089,36250311,36.10727643,5.3,0,55734,523
Colorado,2007,304,4803868,6.328233832,3.7,0,61141,348
Connecticut,2007,188,3527270,5.329901028,4.5,0,64141,256
Delaware,2007,46,871749,5.276748238,3.6,0,54589,689
Florida,2007,651366,18367842,3546.230417,3.3,0,45794,722
Georgia,2007,2156,9349988,23.05885312,4.9,0,48641,493
Hawaii,2007,43,1315675,3.268284341,2.7,0,64022,273
Idaho,2007,57,1505105,3.787111198,3.1,0,49184,239
Illinois,2007,9230,12695866,72.70083033,5.1,1,52506,533
Indiana,2007,1140,6379599,17.8694617,4.6,0,47453,337
Iowa,2007,47,2999212,1.567078286,3.7,0,48908,295
Kansas,2007,275,2783785,9.878636461,4.3,0,48497,453
